node,ldst,xdst,east,nrth,elev
72,1775,-16,562052.407,6814151.389,146.421005249023
72,1775,-14,562050.593,6814150.547,146.434005737305
72,1775,-12,562048.779,6814149.705,146.464996337891
72,1775,-10,562046.965,6814148.863,146.505996704102
72,1775,-8,562045.151,6814148.021,146.453002929688
72,1775,-6,562043.337,6814147.179,145.740997314453
72,1775,-4,562041.523,6814146.337,145.535995483398
72,1775,-2,562039.709,6814145.495,145.649002075195
72,1775,0,562037.895,6814144.653,145.77799987793
72,1775,2,562036.081,6814143.811,145.835998535156
72,1775,4,562034.267,6814142.969,146.014007568359
72,1775,6,562032.453,6814142.127,146.154998779297
72,1775,8,562030.639,6814141.285,146.332000732422
72,1775,10,562028.825,6814140.443,146.440002441406
72,1775,12,562027.011,6814139.601,146.529006958008
72,1775,14,562025.197,6814138.759,146.634994506836
72,1775,16,562023.383,6814137.917,146.710998535156
72,1775,18,562021.569,6814137.075,146.675994873047
72,1775,20,562019.755,6814136.233,146.753997802734
72,1775,22,562017.941,6814135.391,146.731994628906
72,1775,24,562016.127,6814134.549,146.781005859375
72,1775,26,562014.313,6814133.707,146.828994750977
72,1775,28,562012.499,6814132.865,146.824996948242
72,1775,30,562010.685,6814132.023,146.826995849609
72,1775,32,562008.871,6814131.181,146.856994628906
72,1775,34,562007.057,6814130.339,146.884994506836
72,1775,36,562005.243,6814129.497,146.923004150391
72,1775,38,562003.429,6814128.655,147.018005371094
72,1775,40,562001.615,6814127.813,147.026000976562
71,1750,-100,562139.853,6814120.047,147.388000488281
71,1750,-98,562137.853,6814120.051,147.429992675781
71,1750,-96,562135.853,6814120.055,147.399002075195
71,1750,-94,562133.853,6814120.059,147.378997802734
71,1750,-92,562131.853,6814120.063,147.356002807617
71,1750,-90,562129.853,6814120.067,147.285995483398
71,1750,-88,562127.853,6814120.071,147.248001098633
71,1750,-86,562125.853,6814120.075,147.25
71,1750,-84,562123.853,6814120.079,147.169998168945
71,1750,-82,562121.853,6814120.083,147.218002319336
71,1750,-80,562119.853,6814120.087,147.276000976562
71,1750,-78,562117.853,6814120.091,147.177993774414
71,1750,-76,562115.853,6814120.095,147.218994140625
71,1750,-74,562113.853,6814120.099,147.188995361328
71,1750,-72,562111.853,6814120.103,147.15299987793
71,1750,-70,562109.853,6814120.107,147.102996826172
71,1750,-68,562107.853,6814120.111,147.069000244141
71,1750,-66,562105.853,6814120.115,147.007995605469
71,1750,-64,562103.853,6814120.119,146.994995117188
71,1750,-62,562101.853,6814120.123,146.977996826172
71,1750,-60,562099.853,6814120.127,147.011001586914
71,1750,-58,562097.853,6814120.131,147.203994750977
71,1750,-56,562095.853,6814120.135,146.977996826172
71,1750,-54,562093.853,6814120.139,147.014007568359
71,1750,-52,562091.853,6814120.143,146.955993652344
71,1750,-50,562089.853,6814120.147,147.042007446289
71,1750,-48,562087.853,6814120.151,146.906997680664
71,1750,-46,562085.853,6814120.155,146.953002929688
71,1750,-44,562083.853,6814120.159,146.835006713867
71,1750,-42,562081.853,6814120.163,146.841003417969
71,1750,-40,562079.853,6814120.167,146.781005859375
71,1750,-38,562077.853,6814120.171,146.798004150391
71,1750,-36,562075.853,6814120.175,146.779998779297
71,1750,-34,562073.853,6814120.179,146.701995849609
71,1750,-32,562071.853,6814120.183,146.667007446289
71,1750,-30,562069.853,6814120.187,146.608993530273
71,1750,-28,562067.853,6814120.191,146.621994018555
71,1750,-26,562065.853,6814120.195,146.630996704102
71,1750,-24,562063.853,6814120.199,146.589996337891
71,1750,-22,562061.853,6814120.203,146.552001953125
71,1750,-20,562059.853,6814120.207,146.505004882812
71,1750,-18,562057.853,6814120.211,146.455993652344
71,1750,-16,562055.853,6814120.215,146.485992431641
71,1750,-14,562053.853,6814120.219,146.600997924805
71,1750,-12,562051.853,6814120.223,146.531005859375
71,1750,-10,562049.853,6814120.227,146.179000854492
71,1750,-8,562047.853,6814120.231,145.757995605469
